frame,state,boot_x,boot_y,cart_x,target,direction,loop_ms
151,AIM,1032,382,1014,,0,2.6
152,AIM,1032,382,1014,,0,3.8
153,AIM,1032,382,1014,,0,2.1
154,AIM,1032,382,1014,,0,2.2
155,AIM,1032,382,1014,,0,3.1
156,AIM,1032,382,1014,,0,2.9
157,AIM,1032,382,1014,,0,2.2
158,AIM,1032,382,1014,,0,2.2
159,AIM,1032,382,1014,,0,2.6
160,AIM,1032,382,1014,,0,2.9
161,AIM,1032,382,1014,,0,2.2
162,AIM,1032,382,1017,,0,2.2
163,AIM,1032,382,1020,,0,3.1
164,AIM,1032,382,1026,,0,2.9
165,AIM,1032,382,1035,,0,3.7
166,AIM,1032,382,1039,,0,2.3
167,AIM,1032,382,1038,,0,2.8
168,AIM,1032,382,1038,,0,3.0
169,AIM,1032,382,1038,,0,2.5
170,AIM,1032,382,1039,,0,2.6
171,AIM,1032,382,1039,,0,2.2
172,AIM,1032,382,1033,,0,3.1
173,AIM,1032,382,1033,,0,3.5
174,AIM,1032,382,1034,,0,2.6
175,AIM,1032,382,1034,,0,2.0
176,AIM,1032,382,1034,,0,3.6
177,AIM,1032,382,1041,,0,2.3
178,AIM,1032,382,1041,,0,2.2
179,AIM,1032,382,1042,,0,2.8
180,AIM,1032,382,1042,,0,2.0
181,AIM,1032,382,1035,,0,2.2
182,AIM,1032,382,1026,,0,3.8
183,AIM,1032,382,1018,,0,2.5
184,AIM,1032,382,1014,,0,2.1
185,AIM,1032,382,1014,,0,2.0
186,AIM,1032,382,1014,,0,2.3
187,AIM,1032,382,1022,,0,3.0
188,AIM,1032,382,1018,,0,3.6
189,AIM,1032,382,1015,,0,3.3
190,AIM,1032,382,1014,,0,2.2
191,AIM,1032,382,1014,,0,4.3
192,AIM,1032,382,1019,,0,2.5
193,AIM,1032,382,1015,,0,2.1
194,AIM,1032,382,1014,,0,2.7
195,AIM,1032,382,1014,,0,2.1
196,AIM,1032,382,1014,,0,2.2
197,AIM,1032,382,1014,,0,2.2
198,AIM,1032,382,1014,,0,2.5
199,AIM,1032,382,1014,,0,2.2
200,AIM,1032,382,1014,,0,2.7
201,AIM,1032,382,1014,,0,2.4
202,AIM,1032,382,1014,,0,2.2
203,AIM,1032,382,1014,,0,2.3
204,AIM,1032,382,1014,,0,3.1
205,AIM,1032,382,1014,,0,2.4
206,AIM,1032,382,1014,,0,2.6
207,AIM,1032,382,1014,,0,2.9
208,AIM,1032,382,1014,,0,3.0
209,AIM,1032,382,1014,,0,2.5
210,AIM,1032,382,1014,,0,2.2
211,AIM,1032,382,1014,,0,2.7
212,AIM,1032,382,1014,,0,2.6
213,AIM,1032,382,1014,,0,1.9
214,AIM,1032,382,1014,,0,2.9
215,AIM,1032,382,1014,,0,2.3
216,AIM,1032,382,1014,,0,4.9
217,AIM,1032,382,1014,,0,2.4
218,AIM,1032,382,1014,,0,2.6
219,AIM,1032,382,1014,,0,2.7
220,AIM,1032,382,1014,,0,2.1
221,AIM,1032,382,1014,,0,2.1
222,AIM,1032,382,1014,,0,2.7
223,AIM,1032,382,1014,,0,2.6
224,AIM,1032,382,1014,,0,2.6
225,AIM,1032,382,1014,,0,1.8
226,AIM,1032,382,1014,,0,2.8
227,AIM,1032,382,1014,,0,2.9
228,AIM,1032,382,1014,,0,2.3
229,AIM,1032,382,1014,,0,2.1
230,AIM,1032,382,1014,,0,2.4
231,AIM,1032,382,1014,,0,1.9
232,AIM,1032,382,1014,,0,1.9
233,AIM,1032,382,1014,,0,2.1
234,AIM,1032,382,1014,,0,3.0
235,AIM,1032,382,1014,,0,2.6
236,AIM,1032,382,1014,,0,1.9
237,AIM,1032,382,1014,,0,1.8
238,AIM,1032,382,1014,,0,2.5
239,AIM,1032,382,1014,,0,2.0
240,AIM,1032,382,1014,,0,1.8
241,AIM,1032,382,1014,,0,2.2
242,AIM,1032,382,1014,,0,2.6
243,AIM,1032,382,1014,,0,4.2
244,AIM,1032,382,1014,,0,1.9
245,AIM,1032,382,1014,,0,2.3
246,AIM,1032,382,1014,,0,1.8
247,AIM,1032,382,1014,,0,2.4
248,AIM,1032,382,1014,,0,2.6
249,AIM,1032,382,1014,,0,2.8
250,AIM,1032,382,1014,,0,3.7
251,AIM,1032,382,1014,,0,3.5
252,AIM,1032,382,1014,,0,1.9
253,AIM,1032,382,1014,,0,2.4
254,AIM,1032,382,1014,,0,2.3
255,AIM,1032,382,1014,,0,2.1
256,AIM,1032,382,1014,,0,2.0
257,AIM,1032,382,1014,,0,1.9
258,AIM,1032,382,1014,,0,2.1
259,AIM,1032,382,1014,,0,1.8
260,AIM,1032,382,1014,,0,2.5
261,AIM,1032,382,1014,,0,2.9
262,AIM,1032,382,1014,,0,1.9
263,AIM,1032,382,1014,,0,2.2
264,AIM,1032,382,1014,,0,2.3
265,AIM,1032,382,1014,,0,1.9
266,AIM,1032,382,1014,,0,1.8
267,AIM,1032,382,1014,,0,2.2
268,AIM,1032,382,1014,,0,1.8
269,AIM,1032,382,1014,,0,3.3
270,AIM,1032,382,1014,,0,2.7
271,AIM,1032,382,1014,,0,1.8
272,AIM,1032,382,1014,,0,2.2
273,AIM,1032,382,1014,,0,2.3
274,AIM,1032,382,1014,,0,1.8
275,AIM,1032,382,1014,,0,2.0
276,AIM,1032,382,1014,,0,2.2
277,AIM,1032,382,1014,,0,3.4
278,AIM,1032,382,1014,,0,1.9
279,AIM,1032,382,1014,,0,2.3
280,AIM,1032,382,1014,,0,2.0
281,AIM,1032,382,1014,,0,3.9
282,AIM,1032,382,1014,,0,2.9
283,AIM,1032,382,1014,,0,2.7
284,AIM,1032,382,1014,,0,2.0
285,AIM,1032,382,1014,,0,3.1
286,AIM,1032,382,1014,,0,2.5
287,AIM,1032,382,1014,,0,4.5
288,AIM,1032,382,1014,,0,2.4
289,AIM,1032,382,1014,,0,3.5
290,AIM,1032,382,1014,,0,2.5
291,AIM,1032,382,1014,,0,2.6
292,AIM,1032,382,1014,,0,2.0
293,AIM,1032,382,1014,,0,3.2
